seg_id,seg_label,xs,ys,zs,xe,ye,ze,xm,ym,zm,diameter
1,soma,-4.713359304226285e-16,5.030832290649414,7.697499752044678,4.0244957308885364e-16,-5.669167518615723,-6.572500228881836,6.7358446342811835e-18,0.5763997717167422,-0.1100046315889398,11.277395492900299
2,hill,4.0244957308885364e-16,-5.669167518615723,-6.572500228881836,5.249142371715467e-16,-5.669167518615723,-8.572500228881836,4.636819051302002e-16,-5.669167518615723,-7.572500228881836,2.470000070333481
3,hill,5.249142371715467e-16,-5.669167518615723,-8.572500228881836,6.473789012542398e-16,-5.669167518615723,-10.572500228881836,5.861465692128933e-16,-5.669167518615723,-9.572500228881836,2.070000058412552
4,hill,6.473789012542398e-16,-5.669167518615723,-10.572500228881836,7.69843565336933e-16,-5.669167518615723,-12.572500228881836,7.086112332955864e-16,-5.669167518615723,-11.572500228881836,1.670000046491623
5,hill,7.69843565336933e-16,-5.669167518615723,-12.572500228881836,8.92308229419626e-16,-5.669167518615723,-14.572500228881836,8.310758973782795e-16,-5.669167518615723,-13.572500228881836,1.270000034570694
6,hill,8.92308229419626e-16,-5.669167518615723,-14.572500228881836,1.0147728935023192e-15,-5.669167518615723,-16.572500228881836,9.535405614609728e-16,-5.669167518615723,-15.572500228881836,0.8700000226497651
7,iseg,1.0147728935023192e-15,-5.669167518615723,-16.572500228881836,1.1984699240370723e-15,-5.669167518615723,-19.572500228881836,1.1066214087696957e-15,-5.669167518615723,-18.072500228881836,0.6700000166893005
8,iseg,1.1984699240370723e-15,-5.669167518615723,-19.572500228881836,1.3821669545718255e-15,-5.669167518615723,-22.572500228881836,1.2903184393044488e-15,-5.669167518615723,-21.072500228881836,0.6700000166893005
9,iseg,1.3821669545718255e-15,-5.669167518615723,-22.572500228881836,1.5658639851065785e-15,-5.669167518615723,-25.572500228881836,1.474015469839202e-15,-5.669167518615723,-24.072500228881836,0.6700000166893005
10,iseg,1.5658639851065785e-15,-5.669167518615723,-25.572500228881836,1.7495610156413317e-15,-5.669167518615723,-28.572500228881836,1.657712500373955e-15,-5.669167518615723,-27.072500228881836,0.6700000166893005
