seg_id,xs,ys,zs,ds,as,xe,ye,ze,de,ae,segment,length
1,-6.95423,4.63115,0,8.05716,0,-3.29923,2.80615,0,9.72981,4.0853,soma,4.0852968068428
2,-3.29923,2.80615,0,9.72981,4.0853,-0.164231,0.961154,0,11.5113,7.72291,soma,3.63761308690424
3,-0.164231,0.961154,0,11.5113,7.72291,2.76077,-1.29385,0,10.8389,11.4162,soma,3.69332829437311
4,2.76077,-1.29385,0,10.8389,11.4162,4.80077,-3.43385,0,8.94002,14.3728,soma,2.95655204588047
5,4.80077,-3.43385,0,8.94002,14.3728,7.31577,-6.06885,0,5.37403,18.0154,soma,3.64258836543467
6,7.3,-6.07,0,2.67,0,17.3,-6.07,0,0.67,10,hill,10
7,17.3,-6.07,0,0.67,0,32.3,-6.07,0,0.67,15,iseg,15
8,32.3,-6.07,0,0.67,0,132.3,-6.07,0,0.67,100,myelin_01,100
9,132.3,-6.07,0,0.67,0,133.3,-6.07,0,0.67,1,node_01,1
10,133.3,-6.07,0,0.67,0,233.3,-6.07,0,0.67,100,myelin_02,100
11,233.3,-6.07,0,0.67,0,234.3,-6.07,0,0.67,1,node_02,1
12,234.3,-6.07,0,0.67,0,334.3,-6.07,0,0.67,100,myelin_03,100
13,334.3,-6.07,0,0.67,0,335.3,-6.07,0,0.67,1,node_03,1
14,335.3,-6.07,0,0.67,0,435.3,-6.07,0,0.67,100,myelin_04,100
15,435.3,-6.07,0,0.67,0,436.3,-6.07,0,0.67,1,node_04,1
16,436.3,-6.07,0,0.67,0,536.3,-6.07,0,0.67,100,myelin_05,99.9999999999999
17,536.3,-6.07,0,0.67,0,537.3,-6.07,0,0.67,1,node_05,1
18,-3.3,-4.71,-2.25,1.5,0,-2.7,-7.69,-2.16,1.5,3.04113,basal1_0,3.04113465667011
19,-2.7,-7.69,-2.16,1.5,3.04113,-0.59,-12.12,-2.04,1.5,7.94943,basal1_0,4.90829909439105
20,-0.59,-12.12,-2.04,1.5,7.94943,-1.48,-14.66,-4.35,1.5,11.4962,basal1_0,3.54680137588786
21,-1.48,-14.66,-4.35,1.5,11.4962,-0.38,-18.12,-7.02,1.5,16.003,basal1_0,4.50671720878956
22,-0.38,-18.12,-7.02,1.5,16.003,3.56,-18.48,-9.48,1.5,20.6618,basal1_0,4.6588410576022
23,3.56,-18.48,-9.48,1.5,20.6618,5.57,-19.91,-11.67,1.5,23.9604,basal1_0,3.298651239522
24,5.57,-19.91,-11.67,1.5,23.9604,5.71,-23.91,-14.16,1.5,28.6742,basal1_0,4.7137776782534
25,5.71,-23.91,-14.16,1.5,28.6742,7.92,-30.84,-14.49,1.5,35.9556,basal1_0,7.28133916254421
26,7.92,-30.84,-14.49,1.5,35.9556,8.05,-34.84,-17.07,1.5,40.7172,basal1_0,4.76164887407713
27,8.05,-34.84,-17.07,1.5,40.7172,7.69,-38.35,-20.19,1.5,45.4272,basal1_0,4.71
28,7.69,-38.35,-20.19,1.5,45.4272,8.3,-41.83,-22.02,1.5,49.4061,basal1_0,3.97886918608792
29,8.3,-41.83,-22.02,1.5,0,16.17,-42.56,-25.38,1,8.58833,basal1_01,8.58832929038006
30,16.17,-42.56,-25.38,1,8.58833,19.02,-39.96,-30.18,1,14.7465,basal1_01,6.15812471455394
31,19.02,-39.96,-30.18,1,14.7465,19.21,-35.32,-32.13,0.5,19.7831,basal1_01,5.03668541801054
32,19.21,-35.32,-32.13,0.5,19.7831,18.95,-27.83,-29.79,0.5,27.6345,basal1_01,7.85132472898683
33,18.95,-27.83,-29.79,0.5,27.6345,23.22,-23.68,-24.48,0.5,35.6127,basal1_01,7.97818901756533
34,23.22,-23.68,-24.48,0.5,35.6127,28.62,-23.99,-23.25,0.5,41.1596,basal1_01,5.54698116095593
35,28.62,-23.99,-23.25,0.5,41.1596,36.9,-22.2,-26.49,0.5,50.2294,basal1_01,9.06973538754025
36,36.9,-22.2,-26.49,0.5,50.2294,40.78,-21.06,-29.52,0.5,55.2826,basal1_01,5.05320690255208
37,40.78,-21.06,-29.52,0.5,55.2826,49.08,-19.77,-29.91,0.5,63.6913,basal1_01,8.40869787779297
38,49.08,-19.77,-29.91,0.5,63.6913,56.79,-16,-30.9,0.5,72.3306,basal1_01,8.63927659008554
39,56.79,-16,-30.9,0.5,72.3306,60.64,-13.86,-33.3,0.5,77.3467,basal1_01,5.01618380843446
40,60.64,-13.86,-33.3,0.5,77.3467,59.05,-10.42,-34.41,0.5,81.2956,basal1_01,3.94889858061713
41,59.05,-10.42,-34.41,0.5,81.2956,59.47,-8.4,-34.41,0.5,83.3588,basal1_01,2.06320139588941
42,59.47,-8.4,-34.41,0.5,83.3588,63.23,-3.77,-32.79,0.5,89.5394,basal1_01,6.18052586759412
43,8.3,-41.83,-22.02,1.5,0,7.95,-45.85,-20.37,0.5,4.35952,basal1_02,4.35951832201678
44,7.95,-45.85,-20.37,0.5,4.35952,10.97,-49.97,-20.37,0.5,9.46782,basal1_02,5.10830696023643
45,10.97,-49.97,-20.37,0.5,0,13.11,-53.17,-21.72,0.5,4.07947,basal1_021,4.07947300518094
46,13.11,-53.17,-21.72,0.5,4.07947,17.17,-57.03,-25.26,0.5,10.7063,basal1_021,6.62682427713305
47,17.17,-57.03,-25.26,0.5,10.7063,19.83,-62.94,-27.09,0.5,17.4407,basal1_021,6.73443390345469
48,19.83,-62.94,-27.09,0.5,17.4407,22.98,-68.84,-29.04,0.5,24.4074,basal1_021,6.96670653896086
49,22.98,-68.84,-29.04,0.5,24.4074,27.02,-72.2,-30.39,0.5,29.8327,basal1_021,5.42528340273575
50,27.02,-72.2,-30.39,0.5,29.8327,30.17,-78.09,-31.11,0.5,36.5508,basal1_021,6.71810985322509
51,30.17,-78.09,-31.11,0.5,36.5508,39.12,-81.78,-29.82,0.5,46.3172,basal1_021,9.76640670871329
52,39.12,-81.78,-29.82,0.5,46.3172,45.18,-86.57,-32.22,0.5,54.406,basal1_021,8.08873908591444
53,45.18,-86.57,-32.22,0.5,54.406,51.62,-88.35,-33.21,0.5,61.1604,basal1_021,6.75441337201092
54,51.62,-88.35,-33.21,0.5,61.1604,59.12,-92.59,-31.62,0.5,69.9214,basal1_021,8.76103304411073
55,59.12,-92.59,-31.62,0.5,69.9214,68.06,-95.78,-34.62,0.5,79.8763,basal1_021,9.95488322382538
56,68.06,-95.78,-34.62,0.5,79.8763,73.73,-103.59,-34.29,0.5,89.5331,basal1_021,9.65680589014815
57,73.73,-103.59,-34.29,0.5,89.5331,75.48,-111.53,-36.66,0.5,98.0021,basal1_021,8.46894326347744
58,75.48,-111.53,-36.66,0.5,98.0021,75.35,-122.04,-38.67,0.5,108.703,basal1_021,10.7012662802119
59,75.35,-122.04,-38.67,0.5,108.703,76.89,-123.99,-38.67,0.5,111.188,basal1_021,2.4847736315407
60,10.97,-49.97,-20.37,0.5,0,9.61,-58.85,-22.89,0.5,9.33029,basal1_022,9.33029474346872
61,9.61,-58.85,-22.89,0.5,9.33029,10.1,-63.4,-16.41,0.5,17.2633,basal1_022,7.93303220717022
62,10.1,-63.4,-16.41,0.5,17.2633,14.57,-65.24,-19.98,0.5,23.2726,basal1_022,6.00927616273374
63,14.57,-65.24,-19.98,0.5,23.2726,20.94,-65.02,-22.71,0.5,30.2064,basal1_022,6.93384453243653
64,20.94,-65.02,-22.71,0.5,30.2064,28.76,-64.25,-25.56,0.5,38.5651,basal1_022,8.35869607056029
65,28.76,-64.25,-25.56,0.5,38.5651,32.61,-62.11,-29.25,0.5,44.3113,basal1_022,5.74614653485273
66,32.61,-62.11,-29.25,0.5,44.3113,42.34,-59.77,-34.17,0.5,55.4627,basal1_022,11.1514528201486
67,42.34,-59.77,-34.17,0.5,55.4627,49.76,-61.51,-36.6,0.5,63.462,basal1_022,7.99930621991682
68,49.76,-61.51,-36.6,0.5,63.462,63.65,-66.03,-40.05,0.5,78.4709,basal1_022,15.0088307339379
69,63.65,-66.03,-40.05,0.5,78.4709,70.58,-67.79,-40.08,0.5,85.6209,basal1_022,7.15006293678594
70,70.58,-67.79,-40.08,0.5,85.6209,86.57,-76.24,-40.41,0.5,103.709,basal1_022,18.0884355321293
71,86.57,-76.24,-40.41,0.5,103.709,88.14,-79.18,-40.5,0.5,107.044,basal1_022,3.33415656501012
72,2.27,7.56,-2.01,2.5,0,3.35,15,-1.23,2.5,7.55833,basal2_0,7.55833314957736
73,3.35,15,-1.23,2.5,0,9.16,16.32,2.19,1,6.86985,basal2_01,6.86985443805034
74,9.16,16.32,2.19,1,6.86985,14.59,25.39,5.37,1,17.909,basal2_01,11.039121341846
75,14.59,25.39,5.37,1,17.909,21.01,29.65,10.77,1,27.3177,basal2_01,9.40871936025302
76,21.01,29.65,10.77,1,27.3177,28.8,35.66,15.51,1,38.2389,basal2_01,10.9211629417384
77,28.8,35.66,15.51,1,0,38.43,36.17,14.13,1,9.74174,basal2_011,9.74173495841475
78,38.43,36.17,14.13,1,9.74174,51.62,36.95,13.65,1,22.9635,basal2_011,13.2217585819739
79,51.62,36.95,13.65,1,22.9635,53.37,38.11,17.25,1,27.131,basal2_011,4.1675052489469
80,53.37,38.11,17.25,1,0,60.5,38.64,17.67,0.5,7.162,basal2_0111,7.16199692823168
81,60.5,38.64,17.67,0.5,7.162,69.07,38.86,17.55,0.5,15.7357,basal2_0111,8.5736631610998
82,69.07,38.86,17.55,0.5,15.7357,74.76,39.7,17.55,0.5,21.4873,basal2_0111,5.75166932290097
83,74.76,39.7,17.55,0.5,0,79.86,40.14,14.97,0.5,5.73236,basal2_01111,5.7323642591866
84,79.86,40.14,14.97,0.5,5.73236,93.44,40.32,17.07,0.5,19.475,basal2_01111,13.7425907310085
85,93.44,40.32,17.07,0.5,19.475,105.32,37.29,19.05,0.5,31.8941,basal2_01111,12.4191666387081
86,105.32,37.29,19.05,0.5,31.8941,117.48,33.17,18.87,0.5,44.7344,basal2_01111,12.8402647947774
87,117.48,33.17,18.87,0.5,44.7344,125.79,29.87,24.93,0.5,55.5358,basal2_01111,10.8013749124822
88,125.79,29.87,24.93,0.5,55.5358,131.13,26.69,32.67,0.5,65.4623,basal2_01111,9.92650996070623
89,131.13,26.69,32.67,0.5,65.4623,135.14,24.31,27.51,0.5,72.4171,basal2_01111,6.9548616089754
90,74.76,39.7,17.55,0.5,0,81.82,42.28,-31.65,0.5,49.7709,basal2_01112,49.7708750174236
91,81.82,42.28,-31.65,0.5,49.7709,87.13,43.71,-30.99,0.5,55.3095,basal2_01112,5.53864604393529
92,87.13,43.71,-30.99,0.5,55.3095,98.14,45.97,-31.41,0.5,66.5569,basal2_01112,11.2474041449572
93,98.14,45.97,-31.41,0.5,66.5569,103.73,46.32,-26.73,0.5,73.8558,basal2_01112,7.29883552356128
94,103.73,46.32,-26.73,0.5,73.8558,111.14,52.92,-21.63,0.5,85.0127,basal2_01112,11.1569753965849
95,111.14,52.92,-21.63,0.5,85.0127,122.59,52.53,-19.65,0.5,96.6392,basal2_01112,11.6264784006164
96,122.59,52.53,-19.65,0.5,96.6392,130.76,46.19,-17.61,0.5,107.18,basal2_01112,10.5406878333437
97,130.76,46.19,-17.61,0.5,107.18,134.08,42.93,-13.05,0.5,113.695,basal2_01112,6.51487528660374
98,134.08,42.93,-13.05,0.5,113.695,144.42,39.71,-2.79,0.5,128.613,basal2_01112,14.9181634258376
99,53.37,38.11,17.25,1,0,59.87,35.7,13.53,0.5,7.86743,basal2_0112,7.86743287229068
100,59.87,35.7,13.53,0.5,7.86743,69.4,35.72,20.37,0.5,19.598,basal2_0112,11.7305967452641
101,69.4,35.72,20.37,0.5,19.598,73.41,33.34,25.17,0.5,26.2902,basal2_0112,6.69212223438872
